prompt,expert
What is the derivative of x^2?,4
Integrate x dx,4
What is the value of π?,4
Solve for x: 2x + 5 = 11,4
Factor the expression: x^2 - 5x + 6,4
What is the area of a circle with radius 4?,4
Simplify: (2x + 3x) - (x - 1),4
Evaluate: 3^4,4
What is the slope of the line y = 2x + 1?,4
Find the limit: lim(x→0) (sin x)/x,4
Differentiate: sin(x),4
Integrate: e^x dx,4
What is the square root of 144?,4
Expand: (x + 2)^2,4
What is the probability of flipping heads twice in a row?,4
Convert 45° to radians,4
What is 7 factorial (7!)?,4
Graph the function: y = x^2,4
Find the volume of a sphere with radius r,4
Is 23 a prime number?,4
Solve: x^2 = 49,4
"What is the mean of the numbers 4, 7, 9, 10?",4
"Find the median of the list: 3, 5, 7, 9, 11",4
What is the standard deviation?,4
"Find the determinant of [[1,2],[3,4]]",4
"Transpose the matrix [[1,2],[3,4]]",4
Evaluate: ln(e^5),4
Find the inverse of y = 2x + 3,4
"Is the function y = x^3 even, odd, or neither?",4
Plot the function: y = sin(x),4
Find the asymptotes of y = 1/x,4
Solve: log(x) = 2,4
What is the domain of √(x-3)?,4
"Is the sequence 2, 4, 6, 8 arithmetic or geometric?",4
"Find the nth term of the geometric sequence: 2, 6, 18, ...",4
Differentiate: ln(x),4
Integrate: 1/x dx,4
Find the area under y = x from 0 to 2,4
Solve the inequality: x^2 - 4 > 0,4
"Find the equation of a line through (1,2) and (3,6)",4
Calculate the cosine of 60°,4
What is the sum of the interior angles of a triangle?,4
Prove that √2 is irrational,4
Find the derivative of tan(x),4
Evaluate the definite integral ∫₀¹ x^2 dx,4
Simplify: (x^2y)(xy^3),4
Find the range of the function y = x^2,4
Convert 0.75 to a fraction,4
Differentiate: e^(2x),4
Integrate: cos(x) dx,4
Find the center and radius of the circle x^2 + y^2 = 25,4
Find the solution set of x^2 - 9 = 0,4
Graph the inequality y < 2x + 1,4
Convert 2π radians to degrees,4
"What is the binomial coefficient C(5, 2)?",4
"Solve the system: x + y = 5, x - y = 1",4
Find the roots of the quadratic: x^2 + 2x - 3,4
What is the value of sin(π/2)?,4
"Find the inverse of matrix [[2,0],[0,3]]",4
Evaluate the series: ∑(n=1 to ∞) 1/n^2,4
Prove that (a+b)^2 = a^2 + 2ab + b^2,4
"Write the equation of a parabola with vertex at (0,0)",4
What is the derivative of a constant?,4
Find the equation of the tangent line at x=1 for y = x^2,4
Solve for x: |x - 3| = 5,4
Find the circumference of a circle with diameter 10,4
Differentiate: x^x,4
Integrate: sec^2(x) dx,4
Find the angle between two vectors,4
"Evaluate the dot product of [1,2] and [3,4]",4
"Find the eigenvalues of [[2,1],[1,2]]",4
"Determine if matrix [[1,2],[2,4]] is invertible",4
What is the sum of the first 100 natural numbers?,4
Find the 10th Fibonacci number,4
Solve: 2^x = 8,4
Differentiate: x / (x+1),4
Evaluate: ∫ x sin(x) dx,4
"Find the equation of the circle with center (2,3) and radius 5",4
What is the value of cos(π)?,4
Find the maximum of f(x) = -x^2 + 4x + 1,4
Evaluate the determinant of a 3x3 matrix,4
Solve: x^3 = 27,4
Convert 100 binary to decimal,4
What is the LCM of 12 and 18?,4
What is the GCD of 30 and 45?,4
Find the derivative of arctan(x),4
Integrate: sqrt(x) dx,4
Is the function f(x) = |x| differentiable at x = 0?,4
Find the arc length of y = x^2 from x=0 to x=1,4
Graph y = |x - 2|,4
Find the slope of a line perpendicular to y = -3x + 2,4
Evaluate: ∫₀^π sin(x) dx,4
What is the value of tan(π/4)?,4
Find the critical points of f(x) = x^3 - 3x,4
Solve the equation: x^4 = 16,4
Differentiate: sin(x^2),4
Evaluate: lim(x→∞) 1/x,4
Find the probability of drawing an ace from a deck,4
Convert 30% to a decimal,4
"Find the mode of the dataset: 3, 4, 4, 5, 6",4
"Calculate the z-score for x = 90, μ = 80, σ = 5",4
¿Cómo preparo una paella?  ,1
¿Qué significa esta palabra?  ,1
Wie funktioniert eine Kaffeemaschine?  ,1
Was ist der Unterschied zwischen HTML und CSS?  ,1
Come faccio a creare un account email?  ,1
Qual è la capitale della Grecia?  ,1
今日は何曜日ですか？  ,1
東京は今何時ですか？  ,1
오늘 날씨 어때요?  ,1
이 문장을 영어로 번역해 주세요.  ,1
ما هو معنى هذه الكلمة؟  ,1
كيف أطبخ الأرز؟  ,1
这个汉字怎么读？  ,1
怎么安装这个软件？  ,1
Как приготовить борщ?  ,1
Что такое блокчейн?  ,1
Como faço login na minha conta?  ,1
O que é um algoritmo?  ,1
मैं पासवर्ड कैसे बदलूं?  ,1
भारत की राजधानी क्या है?  ,1
¿Cuál es el mejor libro para aprender Python?  ,1
¿Cómo envío un correo electrónico?  ,1
Wie spät ist es?  ,1
Wie kann ich meine Dateien sichern?  ,1
Come si dice 'grazie' in tedesco?  ,1
Qual è il fiume più lungo del mondo?  ,1
日本の伝統的な料理は何ですか？  ,1
渋谷に行くにはどうすればいいですか？  ,1
서울에서 맛집 추천해 주세요.  ,1
한국어를 배우고 싶어요.  ,1
ما هو الطقس في القاهرة؟  ,1
كيف أكتب سيرة ذاتية جيدة؟  ,1
这个程序怎么运行？  ,1
我怎么设置WiFi？  ,1
Как написать резюме?  ,1
Как создать таблицу в Excel?  ,1
Como posso melhorar meu inglês?  ,1
Qual é a diferença entre Java e JavaScript?  ,1
मुझे नौकरी कैसे मिलेगी?  ,1
आपका नाम क्या है?  ,1
¿Dónde está el baño?  ,1
¿Qué día es hoy?  ,1
Was ist ein VPN?  ,1
Wie kann ich Deutsch lernen?  ,1
Come posso cambiare la lingua sul mio telefono?  ,1
Quanto costa un biglietto per Roma?  ,1
日本の祝日はいつですか？  ,1
